---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:09:56 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
app_layer.flow.failed_udp                                    | Total                     | 4
app_layer.flow.dns_udp                                       | Total                     | 11
app_layer.tx.dns_udp                                         | Total                     | 30
flow.mgr.full_hash_pass                                      | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 47
flow.mgr.flows_notimeout                                     | Total                     | 47
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 921600
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:11:01 (uptime: 0d, 00h 01m 13s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1148
decoder.bytes                                                | Total                     | 341223
decoder.ipv4                                                 | Total                     | 1148
decoder.tcp                                                  | Total                     | 1029
tcp.syn                                                      | Total                     | 46
tcp.synack                                                   | Total                     | 11
tcp.rst                                                      | Total                     | 40
decoder.udp                                                  | Total                     | 119
decoder.avg_pkt_size                                         | Total                     | 297
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 8
flow.total                                                   | Total                     | 51
flow.active                                                  | Total                     | 51
flow.tcp                                                     | Total                     | 32
flow.udp                                                     | Total                     | 19
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 8
tcp.ssn_from_pool                                            | Total                     | 8
tcp.invalid_checksum                                         | Total                     | 307
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 1218
app_layer.flow.quic                                          | Total                     | 2
app_layer.tx.quic                                            | Total                     | 10
app_layer.flow.failed_udp                                    | Total                     | 4
app_layer.flow.dns_udp                                       | Total                     | 13
app_layer.tx.dns_udp                                         | Total                     | 34
flow.mgr.full_hash_pass                                      | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 48
flow.mgr.flows_notimeout                                     | Total                     | 48
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
